TYPE,AREA,PRICE,PURPOSE,LOCATION,BUILD IN YEAR,BEDROOMS,BATHROOMS,PARKING SPACES
House,1350.0,42500000.0,for sale,"I-9, Islamabad, Islamabad Capital",2024,4,4,5
House,990.0000000000001,14500000.0,for sale,"B-17, Islamabad, Islamabad Capital",2022,3,3,2
Flat,855.0,11500000.0,for sale,"Makkah Tower, E-11, Islamabad, Islamabad Capital",2018,1,2,1
House,2475.0,155000.0,for rent,"I-8, Islamabad, Islamabad Capital",2024,3,3,2
Flat,517.5,20500000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,1,1,1
Flat,2902.5,70000.0,for rent,"Lignum Tower, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,1
Flat,1620.0,31600000.0,for sale,"Mall of Imarat, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,2,3,1
House,1575.0,29000000.0,for sale,"Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,5,6,2
House,2250.0,85000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,7,6,2
Lower Portion,1800.0,35000.0,for rent,"H-13, Islamabad, Islamabad Capital",2021,2,3,1
Lower Portion,1350.0,50000.0,for rent,"I-10/2, I-10, Islamabad, Islamabad Capital",2022,2,2,1
Flat,1890.0,125000.0,for rent,"E-11/4, E-11, Islamabad, Islamabad Capital",2024,3,3,6
Flat,1507.5,300000.0,for rent,"F-8/1, F-8, Islamabad, Islamabad Capital",2024,1,2,1
House,2250.0,88000000.0,for sale,"G-13/3, G-13, Islamabad, Islamabad Capital",2024,6,6,6
Flat,1395.0,120000.0,for rent,"E-11, Islamabad, Islamabad Capital",2022,1,1,1
Flat,652.5,11000000.0,for sale,"Lignum Tower, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,1,1,1
Lower Portion,1597.5,45000.0,for rent,"Margalla View Society - Block C, Margalla View Housing Society, D-17, Islamabad, Islamabad Capital",2024,2,2,1
Upper Portion,2250.0,70000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2023,3,3,1
House,2700.0,79000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,5,5,2
House,1125.0,30000000.0,for sale,"I-10, Islamabad, Islamabad Capital",2024,3,3,2
House,1125.0,31000000.0,for sale,"Bahria Enclave - Sector H, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,4,4,2
House,8550.0,420000000.0,for sale,"F-8, Islamabad, Islamabad Capital",2020,6,6,6
Flat,810.0,10200000.0,for sale,"Bahria Enclave - Sector I, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,2,1,10
Flat,540.0,65000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,1,1,4
Flat,472.5,4500000.0,for sale,"Goldcrest Highlife, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,1,1,1
House,4500.0,107500000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,7,2
House,922.4999999999999,6000000.0,for sale,"I-16/3, I-16, Islamabad, Islamabad Capital",2024,2,2,4
House,4500.0,450000.0,for rent,"F-11/3, F-11, Islamabad, Islamabad Capital",2025,5,5,2
House,1800.0,55000000.0,for sale,"G-11/1, G-11, Islamabad, Islamabad Capital",2024,5,4,2
House,2250.0,79000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,6,6,3
Upper Portion,4500.0,170000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,3,4,1
House,3195.0,95000000.0,for sale,"G-9, Islamabad, Islamabad Capital",2000,6,6,3
Flat,945.0,43000.0,for rent,"Rania Heights, Zaraj Housing Scheme, Islamabad, Islamabad Capital",2024,2,2,1
House,3150.0,85000000.0,for sale,"G-9/3, G-9, Islamabad, Islamabad Capital",2024,6,6,6
Flat,2632.5,171700000.0,for sale,"The Centaurus, F-8, Islamabad, Islamabad Capital",2024,3,5,1
Flat,855.0,24500000.0,for sale,"G-11/4, G-11, Islamabad, Islamabad Capital",2024,2,2,1
Lower Portion,4500.0,170000.0,for rent,"F-10/4, F-10, Islamabad, Islamabad Capital",2020,2,2,3
Upper Portion,1800.0,75000.0,for rent,"E-11, Islamabad, Islamabad Capital",2025,2,2,4
Flat,1102.5,11000000.0,for sale,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,1
Lower Portion,2610.0,836999.0,for rent,"F-6, Islamabad, Islamabad Capital",2022,2,3,1
Lower Portion,4500.0,225000.0,for rent,"F-11, Islamabad, Islamabad Capital",2015,3,3,2
Flat,1597.5,31500000.0,for sale,"F-11 Markaz, F-11, Islamabad, Islamabad Capital",2000,2,2,1
Farm House,22500.0,400000000.0,for sale,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,6,6,1
House,2250.0,145000.0,for rent,"DHA Phase 5 - Sector B, DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2021,4,5,2
Flat,945.0,11000000.0,for sale,"El Cielo, GT Road, Islamabad, Islamabad Capital",2024,2,2,1
Flat,1260.0,90000.0,for rent,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,2,2,1
Lower Portion,2700.0,80000.0,for rent,"G-15, Islamabad, Islamabad Capital",2024,3,4,1
House,1350.0,11000000.0,for sale,"Soan Garden - Block H, Soan Garden, Islamabad, Islamabad Capital",2024,3,3,1
House,1800.0,36500000.0,for sale,"Faisal Town Phase 1 - Block C, Faisal Town Phase 1, Faisal Town - F-18, Islamabad, Islamabad Capital",2023,4,6,2
House,1125.0,16000000.0,for sale,"B-17, Islamabad, Islamabad Capital",2024,4,5,2
House,2475.0,58500000.0,for sale,"DHA Phase 1 - Sector F, DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",2025,5,6,3
House,5400.0,1280000.0,for rent,"F-7, Islamabad, Islamabad Capital",2024,5,5,2
Flat,607.5,52000.0,for rent,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2020,1,1,1
Flat,270.0,8300000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2024,2,2,1
House,36000.0,406000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,7,7,2
Flat,1260.0,114999.0,for rent,"F-10, Islamabad, Islamabad Capital",2024,2,2,1
Flat,2025.0,88000000.0,for sale,"The Centaurus, F-8, Islamabad, Islamabad Capital",2024,2,3,1
Upper Portion,1125.0,30000.0,for rent,"MPCHS - Block F, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2019,2,2,3
House,1125.0,25000000.0,for sale,"Park View - Block J, Park View City, Islamabad, Islamabad Capital",2025,4,5,1
House,1800.0,33500000.0,for sale,"Bahria Enclave - Sector N, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,5,5,2
House,1800.0,34000000.0,for sale,"Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,5,6,6
House,11250.0,585000000.0,for sale,"F-7, Islamabad, Islamabad Capital",2025,5,5,2
Upper Portion,4500.0,170000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2019,3,4,2
Upper Portion,1575.0,50000.0,for rent,"Faisal Town Phase 1 - Block B, Faisal Town Phase 1, Faisal Town - F-18, Islamabad, Islamabad Capital",2025,3,4,1
House,3150.0,110000000.0,for sale,"G-13/2, G-13, Islamabad, Islamabad Capital",2024,7,6,2
Flat,900.0,13500000.0,for sale,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2019,2,3,1
Flat,810.0,6000000.0,for sale,"G-15 Markaz, G-15, Islamabad, Islamabad Capital",2016,2,2,3
House,2700.0,59000000.0,for sale,"PWD Housing Society - Block B, PWD Housing Scheme, Islamabad, Islamabad Capital",2024,6,6,2
Flat,1800.0,150000.0,for rent,"F-11 Markaz, F-11, Islamabad, Islamabad Capital",2017,2,3,2
House,10800.0,1960000.0,for rent,"F-8, Islamabad, Islamabad Capital",2024,6,5,2
House,1800.0,30000000.0,for sale,"Faisal Town Phase 1, Faisal Town - F-18, Islamabad, Islamabad Capital",2024,4,5,2
House,1800.0,36000000.0,for sale,"Faisal Town Phase 1 - Block A, Faisal Town Phase 1, Faisal Town - F-18, Islamabad, Islamabad Capital",2025,4,5,2
House,3150.0,79000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,6,2
Upper Portion,3150.0,125000.0,for rent,"G-13, Islamabad, Islamabad Capital",2012,3,4,2
Flat,607.5,18500000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,1,1,150
Flat,1507.5,290000.0,for rent,"The Centaurus, F-8, Islamabad, Islamabad Capital",2012,1,3,1
House,2250.0,16800000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2022,2,3,2
Lower Portion,3195.0,150000.0,for rent,"I-8, Islamabad, Islamabad Capital",2020,3,3,1
Flat,2002.5,32500000.0,for sale,"G-11/3, G-11, Islamabad, Islamabad Capital",2020,3,3,1
House,1125.0,13000000.0,for sale,"Airport Green Garden - Block B, Airport Green Garden, Kashmir Highway, Islamabad, Islamabad Capital",2024,3,3,1
Upper Portion,4500.0,170000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,3,3,1
House,1575.0,36000000.0,for sale,"Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2025,4,4,2
House,18000.0,340000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,6,7,2
House,8100.0,2100000.0,for rent,"E-7, Islamabad, Islamabad Capital",2023,7,6,7
Flat,1687.5,13799999.0,for sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,3,3,1
Flat,2160.0,150000.0,for rent,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,3,3,2
House,4500.0,65000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,6,6,2
Flat,877.5,55000.0,for rent,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2020,2,2,1
Flat,1102.5,21000000.0,for sale,"G-11/3, G-11, Islamabad, Islamabad Capital",2024,3,2,1
House,1350.0,20000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,5,6,1
Lower Portion,2250.0,130000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,4,4,1
Upper Portion,4500.0,140000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,3,2,2
House,1125.0,21500000.0,for sale,"Bahria Enclave - Sector N, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2014,3,3,4
Flat,810.0,7500000.0,for sale,"MPCHS - Block F, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2024,2,2,2
Flat,450.0,4736000.0,for sale,"H-13, Islamabad, Islamabad Capital",2024,1,1,1
House,2250.0,62500000.0,for sale,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,5,6,2
House,5850.0,1000000.0,for rent,"F-8, Islamabad, Islamabad Capital",2024,6,7,1
House,675.0,9500000.0,for sale,"Capital Homes, H-13, Islamabad, Islamabad Capital",2024,3,3,2
House,9000.0,180000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2025,6,6,4
House,2025.0,22000000.0,for sale,"Park Road, Islamabad, Islamabad Capital",2025,7,6,6
Upper Portion,900.0,45000.0,for rent,"I-10, Islamabad, Islamabad Capital",2024,2,2,1
House,1350.0,41000000.0,for sale,"I-11/2, I-11, Islamabad, Islamabad Capital",2025,4,4,1
Flat,945.0,30000.0,for rent,"Soan Garden - Block B, Soan Garden, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,800000.0,for rent,"F-8, Islamabad, Islamabad Capital",2018,6,6,5
Upper Portion,4500.0,165000.0,for rent,"I-8/3, I-8, Islamabad, Islamabad Capital",2006,3,3,1
Flat,1552.5,300000.0,for rent,"Diplomatic Enclave, Islamabad, Islamabad Capital",2017,2,2,1
House,5850.0,480000000.0,for sale,"F-6, Islamabad, Islamabad Capital",2024,7,6,5
Flat,607.5,40000.0,for rent,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2023,1,1,1
House,2250.0,87500000.0,for sale,"G-13/3, G-13, Islamabad, Islamabad Capital",2024,6,6,1
House,5400.0,2250000.0,for rent,"F-7, Islamabad, Islamabad Capital",2025,8,6,4
Upper Portion,2700.0,140000.0,for rent,"D-12, Islamabad, Islamabad Capital",2023,2,2,1
House,4500.0,1500000.0,for rent,"F-7, Islamabad, Islamabad Capital",2021,9,6,1
House,1125.0,14000000.0,for sale,"H-13, Islamabad, Islamabad Capital",2024,3,3,2
House,1800.0,14500000.0,for sale,"DHA Homes, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",2020,3,3,2
House,1575.0,57000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2025,5,6,2
Lower Portion,5400.0,300000.0,for rent,"F-11, Islamabad, Islamabad Capital",2025,3,3,1
House,3150.0,180000.0,for rent,"CBR Town Phase 1, CBR Town, Islamabad, Islamabad Capital",2025,7,6,3
House,4500.0,185000000.0,for sale,"F-11, Islamabad, Islamabad Capital",1995,6,6,4
House,4950.0,69500000.0,for sale,"G-15, Islamabad, Islamabad Capital",2024,7,6,2
Flat,1890.0,135000.0,for rent,"Deans Apartments, G-11/3, G-11, Islamabad, Islamabad Capital",2023,3,3,2
House,2250.0,85000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,6,6,2
House,18000.0,1900000.0,for rent,"F-6, Islamabad, Islamabad Capital",2018,5,6,8
House,2250.0,38000000.0,for sale,"Pakistan Town - Phase 2, Pakistan Town, Islamabad, Islamabad Capital",2023,3,3,2
Lower Portion,1575.0,45000.0,for rent,"G-15, Islamabad, Islamabad Capital",2000,2,3,1
Upper Portion,4500.0,80000.0,for rent,"B-17, Islamabad, Islamabad Capital",2022,3,3,1
Flat,540.0,34000.0,for rent,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2023,1,1,1
Flat,1395.0,45000.0,for rent,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2022,3,3,1
House,4500.0,215000000.0,for sale,"D-12, Islamabad, Islamabad Capital",2023,6,7,3
House,4500.0,275000000.0,for sale,"F-8/1, F-8, Islamabad, Islamabad Capital",2015,7,7,4
Lower Portion,2700.0,75000.0,for rent,"DHA Phase 2 - Sector G, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,2,2,2
Flat,427.5,5000000.0,for sale,"MPCHS - Block A, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2020,1,1,1
Lower Portion,4500.0,140000.0,for rent,"E-11, Islamabad, Islamabad Capital",2020,2,3,2
House,4500.0,450000.0,for rent,"F-10, Islamabad, Islamabad Capital",2020,6,6,3
Flat,2745.0,145000.0,for rent,"F-11, Islamabad, Islamabad Capital",2010,3,3,1
House,1575.0,120000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2022,6,6,2
House,5850.0,400000000.0,for sale,"F-8/1, F-8, Islamabad, Islamabad Capital",2023,5,5,5
House,7200.0,360000000.0,for sale,"F-6, Islamabad, Islamabad Capital",2024,7,6,2
Flat,2722.5,31000000.0,for sale,"Askari Heights 4, DHA Phase 5 - Sector H, DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2025,3,5,1
Flat,900.0,20000.0,for rent,"Soan Garden, Islamabad, Islamabad Capital",2024,2,2,1
House,1800.0,90000.0,for rent,"Mumtaz City, Islamabad, Islamabad Capital",2024,6,7,2
Flat,1102.5,91000.0,for rent,"G-11, Islamabad, Islamabad Capital",2024,2,2,1
House,1800.0,30000000.0,for sale,"G-15, Islamabad, Islamabad Capital",2000,5,5,2
Flat,2520.0,20500000.0,for sale,"The Galleria, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,3,4,2
House,1125.0,25000000.0,for sale,"Bahria Enclave - Sector H, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,3,4,2
House,2250.0,42000000.0,for sale,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,5,6,2
Lower Portion,1575.0,70000.0,for rent,"G-13, Islamabad, Islamabad Capital",2021,2,3,1
House,4500.0,76000000.0,for sale,"DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",2024,7,7,2
House,1147.5,32500000.0,for sale,"I-10/4, I-10, Islamabad, Islamabad Capital",2011,3,4,1
Flat,2700.0,65000.0,for rent,"Askari Heights 4, DHA Phase 5 - Sector H, DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2024,3,3,1
House,1305.0,43500000.0,for sale,"Margalla Town Phase 2, Margalla Town, Islamabad, Islamabad Capital",2024,5,5,2
House,4500.0,180000000.0,for sale,"F-10/1, F-10, Islamabad, Islamabad Capital",2005,4,4,7
House,4500.0,130000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2023,4,5,2
House,5400.0,450000.0,for rent,"I-8, Islamabad, Islamabad Capital",2015,7,7,8
Upper Portion,5400.0,90000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2020,3,4,4
House,1800.0,30000000.0,for sale,"Bahria Enclave - Sector N, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,2
Flat,1800.0,240000.0,for rent,"Skypark One, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,2,2,4
House,2250.0,110000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2025,5,6,2
House,2700.0,39500000.0,for sale,"Soan Garden - Block A, Soan Garden, Islamabad, Islamabad Capital",2010,7,6,2
House,1485.0,28000000.0,for sale,"Mumtaz City, Islamabad, Islamabad Capital",2024,5,6,2
Lower Portion,3150.0,114999.0,for rent,"I-8/3, I-8, Islamabad, Islamabad Capital",2024,3,3,1
Flat,1057.5,9900000.0,for sale,"Faisal Town - F-18, Islamabad, Islamabad Capital",2024,2,2,1
House,9000.0,2500000.0,for rent,"E-7, Islamabad, Islamabad Capital",2015,10,6,5
House,1125.0,65000.0,for rent,"Mumtaz City - Chanab Block, Mumtaz City, Islamabad, Islamabad Capital",2024,4,5,2
House,1350.0,32000000.0,for sale,"Soan Garden, Islamabad, Islamabad Capital",2024,5,6,2
House,1125.0,16500000.0,for sale,"Mumtaz City, Islamabad, Islamabad Capital",2024,5,6,4
Lower Portion,5400.0,165000.0,for rent,"D-12, Islamabad, Islamabad Capital",2025,4,5,2
Upper Portion,1125.0,65000.0,for rent,"G-14/4, G-14, Islamabad, Islamabad Capital",2024,3,3,1
Lower Portion,2250.0,80000.0,for rent,"Bahria Enclave - Sector C3, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,2,3,1
Flat,787.5,45000.0,for rent,"Defence Executive Apartments, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2020,1,1,1
Upper Portion,4500.0,170000.0,for rent,"E-11/3, E-11, Islamabad, Islamabad Capital",2020,3,4,2
Flat,1642.5,101000000.0,for sale,"Elysium Mall, Blue Area, Islamabad, Islamabad Capital",2024,2,2,2
House,2250.0,85000000.0,for sale,"G-13/2, G-13, Islamabad, Islamabad Capital",2025,7,7,3
House,4207.5,270000000.0,for sale,"F-7/2, F-7, Islamabad, Islamabad Capital",2024,5,5,2
Upper Portion,4500.0,80000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,2
House,1800.0,13500000.0,for sale,"Gulshan-e-Sehat 1, E-18, Islamabad, Islamabad Capital",2024,3,2,2
House,9000.0,4300000.0,for rent,"F-6, Islamabad, Islamabad Capital",2015,11,7,11
House,6750.0,310000000.0,for sale,"F-6, Islamabad, Islamabad Capital",2024,6,6,2
Flat,1215.0,85000.0,for rent,"B-17, Islamabad, Islamabad Capital",2024,3,3,1
Flat,652.5,35000.0,for rent,"G-15 Markaz, G-15, Islamabad, Islamabad Capital",2023,2,2,1
House,1350.0,42500000.0,for sale,"G-11, Islamabad, Islamabad Capital",2024,5,5,2
Flat,1597.5,120000.0,for rent,"F-11 Markaz, F-11, Islamabad, Islamabad Capital",2018,3,3,1
House,1125.0,27500000.0,for sale,"Bahria Enclave - Sector B1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,3,6,4
Lower Portion,5400.0,160000.0,for rent,"D-12, Islamabad, Islamabad Capital",2024,3,4,1
Flat,697.5,5500000.0,for sale,"G-15, Islamabad, Islamabad Capital",2024,2,2,1
Flat,585.0,40000.0,for rent,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,2,2,1
House,5400.0,85000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2018,6,6,4
House,2250.0,150000.0,for rent,"Top City 1, Islamabad, Islamabad Capital",2025,5,6,2
House,1125.0,20000000.0,for sale,"National Police Foundation O-9 - Block C, National Police Foundation O-9, Islamabad, Islamabad Capital",2024,4,5,2
Lower Portion,4500.0,200000.0,for rent,"E-11/3, E-11, Islamabad, Islamabad Capital",2016,3,3,2
House,1957.4999999999998,60000.0,for rent,"Defence Executive Apartments, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,3,2
Lower Portion,4500.0,100000.0,for rent,"Green Avenue, Islamabad, Islamabad Capital",2022,3,3,2
House,1800.0,62500000.0,for sale,"G-13/3, G-13, Islamabad, Islamabad Capital",2024,6,7,2
Flat,607.5,42000.0,for rent,"Defence Residency, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,1,1,1
Flat,1035.0,9500000.0,for sale,"GT Road, Islamabad, Islamabad Capital",2025,2,2,2
Flat,1012.5,70000.0,for rent,"Faisal Town - F-18, Islamabad, Islamabad Capital",2024,2,2,1
House,2250.0,44000000.0,for sale,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,3
House,3195.0,98500000.0,for sale,"G-9/3, G-9, Islamabad, Islamabad Capital",2024,5,6,2
House,4500.0,51500000.0,for sale,"Emaar Canyon Views, Islamabad, Islamabad Capital",2025,3,4,3
Lower Portion,2700.0,70000.0,for rent,"PWD Housing Scheme, Islamabad, Islamabad Capital",2000,3,3,1
House,675.0,8000000.0,for sale,"Ghauri Town Phase 4A, Ghauri Town, Islamabad, Islamabad Capital",2024,6,6,2
House,2250.0,69000000.0,for sale,"G-13/2, G-13, Islamabad, Islamabad Capital",2020,5,6,1
Lower Portion,4500.0,120000.0,for rent,"G-13, Islamabad, Islamabad Capital",2025,4,4,1
Flat,1057.5,37500000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,1,1,3
House,1800.0,90000000.0,for sale,"D-12, Islamabad, Islamabad Capital",2024,5,5,2
Flat,877.5,3550000.0,for sale,"F-17, Islamabad, Islamabad Capital",2024,2,2,2
House,2700.0,35000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,5,6,2
Flat,2092.5,560000.0,for rent,"Diplomatic Enclave, Islamabad, Islamabad Capital",2017,2,3,1
House,900.0,11500000.0,for sale,"H-13, Islamabad, Islamabad Capital",2022,4,4,2
Lower Portion,1350.0,38000.0,for rent,"Ghauri Town Phase 5, Ghauri Town, Islamabad, Islamabad Capital",2024,2,3,3
Lower Portion,4500.0,800000.0,for rent,"F-7, Islamabad, Islamabad Capital",2015,4,4,2
House,4500.0,220000000.0,for sale,"Silver Oaks Apartments, F-10, Islamabad, Islamabad Capital",2024,10,7,1
Lower Portion,1125.0,60000.0,for rent,"I-11, Islamabad, Islamabad Capital",2024,3,3,1
House,4500.0,100000000.0,for sale,"Bahria Enclave - Sector B2, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,4
Flat,1642.5,32000000.0,for sale,"Warda Hamna Residencia 3, G-11/3, G-11, Islamabad, Islamabad Capital",2018,2,2,1
Lower Portion,1575.0,105000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,2,2,1
House,1215.0,30000000.0,for sale,"Green Avenue, Islamabad, Islamabad Capital",2025,4,5,2
House,1350.0,130000.0,for rent,"G-10/1, G-10, Islamabad, Islamabad Capital",2024,4,4,2
House,5400.0,68500000.0,for sale,"DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,3
House,2250.0,45000000.0,for sale,"Bahria Enclave - Sector C3, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,5,6,4
House,900.0,10000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,2,3,2
Flat,810.0,150000.0,for rent,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,1,1,1
House,4950.0,450000.0,for rent,"F-6, Islamabad, Islamabad Capital",2024,4,4,2
House,9000.0,475000.0,for rent,"F-11, Islamabad, Islamabad Capital",2024,3,4,3
Lower Portion,1575.0,45000.0,for rent,"Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2014,2,3,9
Lower Portion,900.0,50000.0,for rent,"D-12, Islamabad, Islamabad Capital",2022,2,1,1
Flat,405.0,37000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,1,1,2
Upper Portion,2250.0,95000.0,for rent,"G-13, Islamabad, Islamabad Capital",2025,3,3,1
Flat,562.5,5100000.0,for sale,"G-15 Markaz, G-15, Islamabad, Islamabad Capital",2024,2,2,1
Lower Portion,4500.0,70000.0,for rent,"F-8, Islamabad, Islamabad Capital",2022,2,2,1
Flat,427.5,4800000.0,for sale,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2021,1,2,1
Lower Portion,4500.0,550000.0,for rent,"F-7, Islamabad, Islamabad Capital",2025,2,3,2
Flat,1642.5,34000000.0,for sale,"Warda Hamna Residencia 3, G-11/3, G-11, Islamabad, Islamabad Capital",2022,2,2,1
House,1125.0,27000000.0,for sale,"Pakistan Town - Phase 1, Pakistan Town, Islamabad, Islamabad Capital",2024,4,4,2
Lower Portion,2250.0,65000.0,for rent,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2020,2,3,1
House,4005.0,250000000.0,for sale,"F-8/3, F-8, Islamabad, Islamabad Capital",2024,4,4,2
House,1800.0,25000000.0,for sale,"Jinnah Gardens Phase 1, Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2023,3,4,2
House,4500.0,95000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,7,2
Lower Portion,5400.0,85000.0,for rent,"F-15/1, F-15, Islamabad, Islamabad Capital",2023,3,3,1
Flat,1305.0,35000000.0,for sale,"F-11, Islamabad, Islamabad Capital",2023,2,2,3
House,900.0,60000.0,for rent,"G-14, Islamabad, Islamabad Capital",2024,5,2,2
House,4500.0,500000.0,for rent,"F-11, Islamabad, Islamabad Capital",2024,5,5,2
Lower Portion,1800.0,70000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,3,4,1
House,1395.0,52500000.0,for sale,"DHA Phase 2 - Sector J, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,5,1
House,4500.0,750000.0,for rent,"F-7, Islamabad, Islamabad Capital",2015,4,4,2
House,1125.0,17000000.0,for sale,"Qutbal Town, Islamabad, Islamabad Capital",2024,6,6,2
House,4500.0,230000000.0,for sale,"I-8, Islamabad, Islamabad Capital",2024,6,6,2
House,1575.0,26000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,4,6,1
Lower Portion,3150.0,55000.0,for rent,"F-17, Islamabad, Islamabad Capital",2022,3,4,1
